"模块类别","模块/外设","业务用途","MCU引脚","芯片封装脚号","板载/排针信息","信号/复用功能","方向","GPIO/电气配置","通信/定时参数","DMA/中断","初始化入口","来源","备注"
"时钟","RCC HSE","系统高速外部时钟输入","PH0","","","RCC_OSC_IN","输入","HSE-External-Clock-Source","","","SystemClock_Config / MX_GPIO_Init","Master.ioc:286-287; Core/Src/gpio.c:35-39","当前 .ioc 只配置 PH0 外部时钟输入，未见 PH1 输出配置"
"时钟","RCC LSE","RTC/低速外部晶振输入","PC14","","","RCC_OSC32_IN","输入","LSE-External-Oscillator","","","SystemClock_Config / MX_GPIO_Init","Master.ioc:278-279; Core/Src/gpio.c:35-39","低速外部晶振输入脚"
"时钟","RCC LSE","RTC/低速外部晶振输出","PC15","","","RCC_OSC32_OUT","输出","LSE-External-Oscillator","","","SystemClock_Config / MX_GPIO_Init","Master.ioc:280-281; Core/Src/gpio.c:35-39","低速外部晶振输出脚"
"串口","USART1","上臂运动/姿态传感器串口","PB14","75","","USART1_TX","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF4_USART1","115200, 8N1, TX/RX","RX DMA1_Stream0, DMA_REQUEST_USART1_RX; USART1_IRQn priority 5","MX_USART1_UART_Init","Master.ioc:268-269; Core/Src/usart.c:438-470; Core/Src/stm32h7xx_it.c:264-288","ISR 将接收包写入 MOTION_SENSOR_ID_UPPER"
"串口","USART1","上臂运动/姿态传感器串口","PB15","76","CN7-3","USART1_RX","输入","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF4_USART1","115200, 8N1, TX/RX","RX DMA1_Stream0, DMA_REQUEST_USART1_RX; USART1_IRQn priority 5","MX_USART1_UART_Init","Master.ioc:270-271; Core/Src/usart.c:438-470; Core/Src/stm32h7xx_it.c:264-288","ISR 将接收包写入 MOTION_SENSOR_ID_UPPER"
"串口","USART2","调试/printf 与 Bootloader 打印串口","PA2","36","","USART2_TX","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF7_USART2","115200, 8N1, TX/RX","USART2_IRQn priority 8; 无 DMA","MX_USART2_UART_Init","Master.ioc:260-261; Core/Src/usart.c:494-507; SYSTEM/usart/yuanzi_usart.c:73-77; Core/Src/bootloader_main.c:176-229","fputc 直接写 USART2->TDR，Bootloader 也复用 USART2"
"串口","USART2","调试/printf 与 Bootloader 打印串口","PA3","37","CN9-2","USART2_RX","输入","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF7_USART2","115200, 8N1, TX/RX","USART2_IRQn priority 8; 无 DMA","MX_USART2_UART_Init","Master.ioc:262-263; Core/Src/usart.c:494-507; Core/Src/bootloader_main.c:176-229","调试接收脚，当前主要看到打印发送用途"
"串口","USART3","前臂运动/姿态传感器串口","PB10","69","CN10-32","USART3_TX","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF7_USART3","115200, 8N1, TX/RX","RX DMA1_Stream1, DMA_REQUEST_USART3_RX; USART3_IRQn priority 5","MX_USART3_UART_Init","Master.ioc:264-265; Core/Src/usart.c:531-562; Core/Src/stm32h7xx_it.c:308-330","ISR 将接收包写入 MOTION_SENSOR_ID_FORE"
"串口","USART3","前臂运动/姿态传感器串口","PB11","70","CN10-34","USART3_RX","输入","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF7_USART3","115200, 8N1, TX/RX","RX DMA1_Stream1, DMA_REQUEST_USART3_RX; USART3_IRQn priority 5","MX_USART3_UART_Init","Master.ioc:266-267; Core/Src/usart.c:531-562; Core/Src/stm32h7xx_it.c:308-330","ISR 将接收包写入 MOTION_SENSOR_ID_FORE"
"串口","UART4","本地运动控制命令串口","PC10","111","CN8-6","UART4_TX","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF8_UART4","115200, 8N1, TX/RX","RX DMA1_Stream2, DMA_REQUEST_UART4_RX; UART4_IRQn priority 6","MX_UART4_Init","Master.ioc:273-274; Core/Src/usart.c:382-414; Core/Src/stm32h7xx_it.c:337-367","UART4 解析 start/clear 文本命令"
"串口","UART4","本地运动控制命令串口","PC11","112","CN8-8","UART4_RX","输入","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF8_UART4","115200, 8N1, TX/RX","RX DMA1_Stream2, DMA_REQUEST_UART4_RX; UART4_IRQn priority 6","MX_UART4_Init","Master.ioc:275-277; Core/Src/usart.c:382-414; Core/Src/stm32h7xx_it.c:337-367","UART4 解析 start/clear 文本命令"
"串口","USART6","ESP8266 WiFi/云端通信串口","PC6","96","CN7-1","USART6_TX","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF7_USART6","115200, 8N1, TX/RX","RX DMA1_Stream3, DMA_REQUEST_USART6_RX; USART6_IRQn priority 7","MX_USART6_UART_Init","Master.ioc:282-283; Core/Src/usart.c:587-618; BSP/wifi/ESP8266.c:72-79","ESP8266_SendRaw 通过 huart6 发送 AT 命令/数据"
"串口","USART6","ESP8266 WiFi/云端通信串口","PC7","97","CN7-11","USART6_RX","输入","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF7_USART6","115200, 8N1, TX/RX","RX DMA1_Stream3, DMA_REQUEST_USART6_RX; USART6_IRQn priority 7","MX_USART6_UART_Init","Master.ioc:284-285; Core/Src/usart.c:587-618; Core/Src/usart.c:823-828","HAL_UARTEx_RxEventCallback 中喂给 ESP8266 接收缓冲"
"串口","UART7","LT168B 串口屏通信","PF6","18","","UART7_RX","输入","GPIO_MODE_AF_PP, GPIO_PULLUP, GPIO_SPEED_FREQ_LOW, GPIO_AF7_UART7","115200, 8N1, TX/RX","UART7_IRQn priority 8; ReceiveToIdle IT; 无 DMA","MX_UART7_Init / LT168B_Init","Core/Src/usart.c:643-665; App/lt_screen/lt_screen_task.c:92; BSP/display/lt168b.c:43-47","RX 额外配置上拉，避免串口屏未连接时悬空伪接收；UART7 未出现在当前 Master.ioc"
"串口","UART7","LT168B 串口屏通信","PF7","19","CN9-25","UART7_TX","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF7_UART7","115200, 8N1, TX/RX","UART7_IRQn priority 8; ReceiveToIdle IT; 无 DMA","MX_UART7_Init / LT168B_Init","Core/Src/usart.c:643-655; App/lt_screen/lt_screen_task.c:92; BSP/display/lt168b.c:144-147","当前 APP_UART7_ROLE 默认 UART7_ROLE_SCREEN"
"定时器/PWM","TIM3_CH1","左侧舵机 PWM","PA6","42","CN7-12","TIM3_CH1","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF2_TIM3","PWM, 约 50Hz, Prescaler=239, Period=19999, pulse 500-2500us","无外部中断/DMA","MX_TIM3_Init / Servo_DoorInit","Core/Inc/main.h:62-65; Core/Src/tim.c:111-154; Core/Src/tim.c:239-255","TIM3 未出现在当前 Master.ioc，属于源码手工保留/补充配置"
"定时器/PWM","TIM3_CH4","右侧舵机 PWM","PB1","47","CN9-8","TIM3_CH4","输出","GPIO_MODE_AF_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW, GPIO_AF2_TIM3","PWM, 约 50Hz, Prescaler=239, Period=19999, pulse 500-2500us","无外部中断/DMA","MX_TIM3_Init / Servo_DoorInit","Core/Inc/main.h:62-65; Core/Src/tim.c:111-154; Core/Src/tim.c:239-255","TIM3 未出现在当前 Master.ioc，属于源码手工保留/补充配置"
